index,country,continent,sub-region,clean fuels for cooking (% of population),Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Agricultural irrigated land (% of total agricultural land),Agricultural land (% ),Arable land (% of land area),Arable land (hectares per person),Armed forces (% labor force),"Armed forces personnel, total",precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)","Children in employment, total (% of children ages 7-14)",Children out of school (% of primary school age),Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),"Death rate, crude (per 1,000 people)",doing business score,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",Electric power consumption (kWh per capita),Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Fertility rate, total (births per woman)",GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",Human capital index (HCI) (scale 0-1),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)",Level of water stress,"Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Military expenditure (% of GDP),Population density,Population growth (annual %),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Rural population (% of total population),Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,free,partly free,not free,OCDE,immigration_flow,immigration_100k
102,Lebanon,Asia,Western Asia,0.0,99.91428571428571,31.5519409179688,0.0,65.95545314900154,13.441558441558442,0.02310770213911635,3.870209575060747,80000.0,661.0,15.898285714285715,0.0,0.0,24.1605796813965,1042.4299886981073,-1.1378750130534183,41.225,6.014428571428572,54.3927725,13.1542253494263,85.32220840454104,0.0,0.0,0.0,0.0,2.129714285714286,43375032068.80871,-5.052124271345702,7300.110325365006,14176.075067883286,0.525920494556427,80.59849194525918,3.2159835029603743,58.79299156390001,77.913,0.042992798294575696,4.6115435548914965,578.5073313782991,-1.4285046645645612,45.67399541635029,40.58671550855827,5900050.375,11.155249999999999,15.0,1.45,11.397375,24.0,2.693,0,1,0,0,25455,431.43699429854445
103,Lesotho,Africa,Austral Africa,39.75714285714286,44.042857142857144,22.727406263351437,0.0,79.70685111989461,10.21880293619424,0.18824966717624528,0.2433429211255945,2000.0,788.0,26.892,29.486583672585702,0.0,19.694429278373725,163.21027419645026,-0.2169560445472598,7.25,13.594714285714286,58.670955,1.55148947238922,78.8991584777832,0.0,55.95786,30.06448,7.40778,3.100857142857143,2272847541.222863,-0.5128421598103561,1024.600552401432,2729.614304575875,0.389961702346802,5.827869362708164,0.0,2.5659050967,53.43214285714286,2.037877086044464,1.8228712827819187,72.76453510257859,1.1719237383644288,0.0,0.0,2221923.875,71.168625,25.5,4.1659999999999995,16.98075,39.0,2.461,1,0,0,0,0,0.0
104,Liberia,Africa,Western Africa,0.6,25.285714285714285,37.16836166381838,0.0,19.758891196013288,5.191029900332226,0.10011207287744404,0.09212702489851007,2030.0,2391.0,32.24885714285714,0.0,0.0,29.947053909301758,292.96413801140613,-0.8594917505979539,12.825,8.81242857142857,42.5839425,1.8880383819341664,45.14314397176107,0.0,42.38775,53.44416,0.0,4.247,3292389847.592077,1.3858198010278002,645.0193835211563,1596.3578061941316,0.31852815357844033,14.280303553701374,0.0,0.2643115942,60.81728571428572,2.965387978770262,1.4567738556337082,52.46656976744186,2.0573357526600837,56.30099194295532,29.213395340723697,5108511.375,48.123625,12.0,3.5,3.2668749999999998,25.0,2.025,0,1,0,0,765,14.97500825277109
105,Libya,Africa,North Africa,0.0,69.7,0.0,0.0,8.723871011741705,0.977528217602328,0.24972468843825593,0.0,0.0,56.0,18.845142857142857,0.0,0.0,0.0,246.36938742197387,-1.557716369628905,27.275,5.576142857142857,32.6013775,0.0,0.0,0.0,0.0,0.0,0.0,2.5414285714285714,55715983360.61447,3.5660624883131944,7992.367298737947,13064.85103112451,0.0,9.233045170556547,0.0,817.1428571429,72.28985714285714,0.1754657264363872,0.0,3.94383621368572,1.3995473541201076,20.687675512047768,16.66098166997014,6985127.75,19.444375,35.0,0.0092,19.214624999999998,18.0,2.528,0,0,1,0,4990,71.43749088912512
106,Liechtenstein,Europe,Western Europe,0.0,100.0,3.313053329785665,0.0,32.357142857142854,10.883928571428571,0.04537915921715178,0.0,0.0,0.0,9.414285714285715,0.0,0.0,0.3501166701316834,0.0,1.863915503025055,2.2,7.142857142857143,64.84815,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,2.5933844378570186,0.0,83.36968641114983,0.0,0.0,241.12767857142856,0.7617685632653028,0.0,0.0,38739.125,85.578875,46.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0
107,Lithuania,Europe,Northern Europe,100.0,100.0,1.8131471233708507,0.1391380443387443,46.999637904349484,35.117384617703706,0.7759887420100265,2.408735060266938,35440.0,656.0,9.385714285714286,44.18775392742263,0.0,0.3391671425529888,126.80773718934162,0.6823794431984425,0.55,14.857142857142858,80.6073775,14.2830880028861,99.18304661342077,0.0,18.8941,38.62685,20.5208,1.5242857142857142,48923599780.04745,3.2728128797473435,17327.776002476414,42766.945230733676,0.714914397239685,5.545831913134499,3.5535530918393117,1.9039413602166668,75.27456445993032,0.01389447245496824,2.041942610282806,44.98436189460723,-0.14422833273774624,28.013458016217307,0.0,2823907.75,32.01625,5.5,12.2,6.9665,61.0,1.672,1,0,0,1,1070,37.890756169354326
108,Luxembourg,Europe,Western Europe,100.0,100.0,3.599068556513104,0.0,51.18347703429623,24.11407218823143,0.10142959929442401,0.4922953663676977,1480.0,934.0,10.242857142857144,0.0,0.0,1.9209242548261367,117.73307398307388,1.9733013212680799,1.675,7.0,69.4879675,24.3496982029506,98.97055380684988,0.0,0.0,0.0,0.0,1.3671428571428572,67167594151.589165,2.1216977995587563,107540.0743574089,131841.3575731674,0.6901715690294904,2.339679751816714,0.5721269888205835,3.9676616915666667,82.50034843205574,0.00908575907171926,0.5430776189983795,240.26603082366233,1.96242156626921,0.0,0.0,624539.625,8.690625,16.5,11.424,5.68525,78.0,0.0,1,0,0,1,10,1.6011794287672299
109,"Macao SAR, China",Asia,Eastern Asia,0.0,100.0,11.201600074768066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.500285714285715,0.0,0.0,8.316761195659641,142.4354841442775,0.7537062540650369,0.0,3.9997142857142856,0.0,0.0,89.8300018310547,0.0,0.0,0.0,38.197455000000005,1.106857142857143,39093526434.11614,4.709346902814975,58673.89822132624,103326.59802263734,0.7726532408396404,1.4640940844326273,0.3023335640907537,0.0,84.95142857142856,0.0,0.0,20735.487190405223,0.679216777655377,96.58029736222709,0.0,669475.0,0.0,0.0,0.0,2.127625,0.0,0.0,0,0,0,0,80,11.949662048620187
110,Madagascar,Africa,Eastern Africa,1.2428571428571427,31.099999999999998,30.63631200790405,0.0,70.29047782743211,5.156411137848058,0.10783442886075038,0.15762188268718066,21820.0,1513.0,31.701714285714285,0.0,0.0,3.096679878234864,190.51476166878987,-1.0020906180143356,34.825,6.794,45.975027499999996,1.51999998092651,45.1364612579346,0.0,0.0,0.0,0.005815,3.979,12808220303.079903,2.741748302481616,448.0130579603713,1643.1417808198396,0.383827900568644,7.112314339944341,0.0,11.2615062762,65.16285714285713,1.841934283454706,0.5974022378728215,48.540172617001424,2.5560977502362037,30.090103730206177,11.50039332296382,28610079.875,61.798875,9.0,1.01,2.73225,25.0,1.838,0,1,0,0,2410,8.423604584571263
111,Malawi,Africa,Eastern Africa,1.7857142857142858,13.228571428571428,25.699326106480203,0.0,62.82805018485969,41.08430813988726,0.20522006261724812,0.2126606536099019,14920.0,1181.0,33.62757142857143,42.85335604849404,0.0,18.329301357269298,471.53085246779176,-0.6185294128954409,39.5,6.982714285714286,58.5110575,0.820642501115799,63.21401405334475,0.0,43.92015,28.75596,23.10647,4.071714285714285,10751466463.152235,3.0919814392570206,556.6510760261606,1648.1612808161333,0.41043411517143263,15.343111582132643,0.0,17.5048380854,63.15714285714286,1.8175752922948682,0.7383028657674591,201.98369749681797,2.640627404820379,32.89016815861214,5.703748541590197,19300705.375,82.660875,37.0,3.282,5.18575,34.0,2.063,0,1,0,0,150,0.7771736684520009
