index,country,continent,sub-region,year,clean fuels for cooking (% of population),Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Agricultural irrigated land (% of total agricultural land),Agricultural land (% ),Arable land (% of land area),Arable land (hectares per person),Armed forces (% labor force),"Armed forces personnel, total",precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)","Children in employment, total (% of children ages 7-14)",Children out of school (% of primary school age),Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),"Death rate, crude (per 1,000 people)",doing business score,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",Electric power consumption (kWh per capita),Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Fertility rate, total (births per woman)",GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",Human capital index (HCI) (scale 0-1),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)",Level of water stress,"Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Military expenditure (% of GDP),Population density,Population growth (annual %),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Rural population (% of total population),Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,free,partly free,not free,OCDE,immigration_flow,immigration_100k
32,Andorra,Europe,Southern Europe,2021,100.0,100.0,8.10974025726318,0.0,39.9068085106383,1.5906382978723403,0.0095400949415547,0.0,0.0,0.0,0.0,0.0,0.0,8.0449800491333,0.0,1.2796870470047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2893905656.789416,8.28677879049404,36929.01915151621,59332.20291001272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.73191489361702,1.26362889534188,0.0,0.0,78364.0,12.141999999999996,0.0,0.0,0.0,0.0,0.0,True,False,False,False,0,0.0
33,Andorra,Europe,Southern Europe,2023,0.0,0.0,2.18658995628357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402520000934601,0.0,1.25135612487793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3252613194.161915,2.58355480961319,40227.23352827144,64631.29639092712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43374756867515,0.0,0.0,80856.0,12.226,0.0,0.0,0.0,0.0,0.0,True,False,False,False,0,0.0
34,Angola,Africa,Central Africa,2016,47.8,41.8,0.0,0.0,36.75623646426566,4.28892275607604,0.1832226698561871,0.965369075862085,117000.0,1010.0,41.377,0.0,0.0,0.0,208.726444198045,-1.48399043083191,20.7,8.555,37.65132,0.0,0.0,0.0,0.0,0.0,0.0,5.686,88161567931.43785,-2.580049644049325,3020.983328054172,9381.809725730422,0.0,30.6944150806719,4.10224812286562,1.8718832891,61.092,1.61347432364468,2.73333494465123,23.408253790005613,3.57644143982026,38.809815771334414,24.89610928528081,29183070.0,35.851,36.0,7.01,16.575,33.0,2.043,False,False,True,False,15,0.05139966425739308
35,Angola,Africa,Central Africa,2017,48.3,42.9,0.0,0.0,36.714526349562846,4.292933344028235,0.1770143376652344,0.9348181654824704,117000.0,1010.0,40.81,0.0,0.0,0.0,271.019765885988,-1.44517171382904,17.4,8.242,39.00774,0.0,0.0,0.0,0.0,0.0,0.0,5.6,88031782694.37866,-0.1472129410857547,2911.600842140376,9042.117129402322,0.361,29.8444799015679,0.0,1.8718832891,61.68,1.51538755769886,2.5079828055057902,24.2518962059838,3.54061221486272,38.3358378434324,24.856573570641476,30234839.0,35.161,36.0,6.67,16.61,33.0,2.043,False,False,True,False,25,0.08268606953719845
36,Angola,Africa,Central Africa,2018,48.6,45.3,0.0,0.0,36.73056870137162,4.296943931980429,0.1711657177785009,0.9057145712521396,117000.0,1010.0,40.236,0.0,0.0,0.0,324.2180676186,-1.19948387145996,13.9,7.99,41.20205,0.0,0.0,0.0,0.0,0.0,0.0,5.519,86872966032.87346,-1.3163616889689536,2775.7464227299083,8620.21466424389,0.360190957784653,19.6289379701521,0.0,1.8718832891,62.144,1.40142649738485,1.95578680987962,25.103998556188337,3.45323300897802,37.91549539217143,24.83995749773422,31297155.0,34.486000000000004,36.0,6.17,16.594,33.0,2.043,False,False,True,False,20,0.06390357206589545
37,Angola,Africa,Central Africa,2019,49.0,45.6,0.0,0.0,36.79874869655892,4.301756637523061,0.1656492759739794,0.8776339708256465,117000.0,1010.0,39.725,0.0,0.0,0.0,379.597607073274,-1.05461812019348,11.1,7.811,41.28838,0.0206711161881685,70.0272979736328,0.0,0.0,0.0,0.0,5.442,86262880684.94563,-0.7022729576160174,2664.4385099554397,8274.542561746428,0.0,17.080954143438,0.0,1.8718832891,62.448,1.29338758381748,1.73907233864521,25.96906392877196,3.38788422184303,37.54796566401972,24.848117250653207,32375632.0,33.82299999999999,36.0,6.17,16.497,33.0,2.043,False,False,True,False,50,0.15443713963637837
38,Angola,Africa,Central Africa,2020,49.7,47.0,0.0,0.0,36.8107804604155,4.305767225475254,0.1604728952072533,0.851290097400684,117000.0,1010.0,39.271,0.0,0.0,0.0,464.139837113465,-0.93506121635437,0.0,7.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.371,81399194250.73006,-5.638214717149339,2433.3763727556384,7556.967927719756,0.362405389547348,22.271539247051,0.0,1.8718832891,62.261,1.26387682693004,1.73699395811082,26.83174139728884,3.26795864914978,37.26358911463458,24.901393471527363,33451132.0,33.175,0.0,4.13,16.69,33.0,2.043,False,False,True,False,15,0.044841531820208655
39,Angola,Africa,Central Africa,2021,49.8,48.2,0.0,0.0,36.81479104836769,4.3097778134274485,0.1555928776397397,0.0,0.0,1010.0,38.809,0.0,0.0,0.0,583.675779438661,-0.649475812911987,0.0,8.009,0.0,0.0,74.3047637939453,0.0,0.0,0.0,0.0,5.304,82375341952.56158,1.1992105214515334,2385.448818342943,7408.126591210588,0.0,25.7542948841891,0.0,1.8718832891,61.643,0.0,1.30099992786185,27.6990687414775,3.18132259995095,37.0537119557073,24.99643451087672,34532429.0,32.540000000000006,0.0,0.0,15.799,33.0,2.043,False,False,True,False,145,0.41989516578749786
40,Angola,Africa,Central Africa,2022,50.0,48.5,0.0,0.0,36.81479104836769,4.3097778134274485,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,708.32143556848,-0.612375736236572,0.0,7.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.209,84883445838.16035,3.0447265239191807,2382.022639525854,7397.486427311053,0.0,21.3552901320822,0.0,0.0,61.929,0.0,1.31681953222365,28.583483596695277,3.14302612044601,36.90125142390875,25.12274088509932,35635029.0,31.919,0.0,0.0,14.602,33.0,2.043,False,False,True,False,230,0.6454323356941846
41,Angola,Africa,Central Africa,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.965533144132,-0.60992020368576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85733374749.97943,1.001289360282982,2332.886912689775,7244.893052951556,0.0,13.6441017767715,0.0,0.0,0.0,0.0,1.33252915998752,0.0,3.08065530722915,36.81186398880472,25.2853327026197,36749906.0,31.312,0.0,0.0,14.537,33.0,2.043,False,False,True,False,230,0.6258519409546245
42,Antigua and Barbuda,Latin America & Caribbean ,Latin America & Caribbean ,2016,100.0,100.0,0.574886977672577,0.0,20.454545454545457,9.090909090909092,0.0444597583612133,0.0,180.0,1030.0,11.659,0.0,0.0,1.21141982078552,109.779789209262,0.645367681980133,9.3,5.662,58.80632,0.0,0.0,0.0,0.0,0.0,0.0,1.458,1496700162.354083,4.099765538777646,16635.731889362814,26637.418159611683,0.0,-0.489437796230499,0.0,8.4615384615,78.152,0.0295213635005847,0.0,204.475,0.624381829779871,0.0,0.0,89969.0,75.154,22.0,7.73,0.0,0.0,0.0,True,False,False,False,25,27.787348975758317
